scenario,year,B,C,I,T,seg,clusters,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage,demand:H2 for industry,demand:land transport fuel cell,demand:Fischer-Tropsch,demand:H2 Fuel Cell,demand:Haber-Bosch,demand:Sabatier,demand:hydrogen for highT industry,demand:hydrogen for mediumT industry,demand:methanolisation
1987baab,1987,b,a,a,b,200,60,min,0.05,2040,22.84661372561445,761.477635320481,1071344003524.183,-2.9754104799751597,1.029487073153719,751325757.2849662,125000000.1401551,0.29571100283417073,259.59277181181255,202758.71071050217,0.6573968385357196,977460.145534531,364064.05646310013,2322457.8931022827,31807.90022166694,2725508.0445785974,1445.9519,6774234.5127,39880000.0,123331652.29359,648011925.34144,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,60,max,0.05,2040,68.37916884090716,156.50109673666597,1077405532608.2317,-29.880443204277253,2.2163815621251706,4696504108.3889265,125000000.00013396,54590827.42019689,524.3283564635115,574695.2878128072,0.7065995706351199,938565.9610894499,433514.9249468873,3541933.5269680494,31807.900289549874,7461032.488055667,99043014.55193,11770801.31588,39880000.0,123331652.29359,1931445767.52749,0.0,0.0,73606471.50051,0.0
1987baab,1987,b,a,a,b,200,60,min,0.05,2045,23.492925954825292,783.019222074449,948017542784.1501,,93.4247269956032,69908614435.8567,200000000.0000919,0.8664779129760894,384.24318732421733,202758.70251775553,0.6760001280595893,937420.1938018409,356118.52925105765,2355034.4992267163,31807.9000861908,2726994.614066533,412686.91671,0.0,64210000.0,214563285.49707,896896466.64951,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,60,max,0.05,2045,,,,,,,,,,,,,,,,,,,,,,,,,
1987baab,1987,b,a,a,b,200,60,min,0.05,2050,21.92885822475166,730.8888446335502,868243136176.4171,,85.0371064159866,61250937785.67997,275000000.0000024,16145494.531724479,403.0244901273824,202758.70251775556,0.6309403840612554,897649.0391715998,350993.04674663936,2424489.4713741504,31807.90000059689,2726994.597069608,70177.6321,0.0,79300000.0,304105444.0116,623224042.33393,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,200,60,max,0.05,2050,56.559120974541344,16.79430093711893,922611758878.8838,-1080.4850404104607,66.96825136642296,116418717084.26205,256535952.88232255,59698168.412389226,491.7803230499527,505841.815515818,0.6583352466214585,839283.2563726674,412300.6379545963,3516079.6520757284,32114.333015030898,7798814.744672776,487541110.61247,36096626.0845,79300000.0,304105444.0116,1018487492.90705,1315333.47398,1850305.92954,3633065.76087,1823673.69411
1987bcab,1987,b,c,a,b,200,60,min,0.05,2025,-0.0,3.4373184394089507e-11,978471478103.3828,,58.0190710153107,-0.0,0.0,0.36414074338106894,7.154780627483347,0.0,,365942.98079807515,45361.401252026015,493625.2608861958,99790.10010087065,0.12933712334512668,98096328.61292,32831214.49405,0.0,0.0,0.0,0.0,0.0,459962.61341,0.0
1987bcab,1987,b,c,a,b,200,60,max,0.05,2025,11.15750781500832,2.6607510976423495e-08,1015164159186.4548,-15.468611423655997,0.6452979538133158,230503097.55450502,0.42126471081688405,0.019083495078443615,31.092384770592304,72359.43816435058,0.9987787158654022,443146.59366897325,49408.76657465713,648302.1843124758,99790.10000461366,0.0072502021472553085,98096328.05055,32831214.51743,0.0,0.0,116528414.50334,0.0,0.0,132743778.39802,0.0
1987bcab,1987,b,c,a,b,200,60,min,0.05,2030,-0.0,4.341296268372492e-11,925732523802.1521,,78.64552712891938,-0.0,100000000.00017525,0.3530234618308924,107.15478055755908,0.0,,476568.8670456995,76411.7502568386,1031934.4452827283,76584.00007128678,6934.836645616601,98096328.51585,32831214.48886,80000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,60,max,0.05,2030,12.967529749295393,1.8193478988416063e-08,964909383942.3691,-20.631861639810612,1.0992172025875853,453987846.7213775,99999999.9947638,0.01662704067443573,157.82910598716967,88721.35464773678,0.9359759853813661,525948.3485532402,86378.04880101659,1311531.7754105683,76584.00000476222,21649.768456649766,98096328.03169,32831214.5016,80000.0,6757898.75581,246682945.48315,0.0,0.0,47759379.86628,0.0
1987bcab,1987,b,c,a,b,200,60,min,0.05,2035,-0.0,3.495183557642725e-11,894056104901.3511,,149.22583473139434,-0.0,300000000.00011283,0.625324640182596,307.15478008277313,0.0,,664550.058404834,212417.56921532576,1321755.1213998245,40121.300039134694,70072.25177572636,137951446.36064,32831214.47318,19450000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,60,max,0.05,2035,23.564368854076697,7.975186654766565e-12,924636865509.9438,-25.269305119170138,1.6288044630624692,1152825982.9176512,299999999.99999994,4.884797013727055e-06,413.53660559342904,183264.14429753963,0.7920259182426955,605865.135321839,195357.6029462323,2026963.6037437606,40121.30000001758,1306853.2533558984,137951446.20356,32831214.50257,19450000.0,65889512.86918,517867412.3311,0.0,0.0,11410828.00015,0.0
1987bcab,1987,b,c,a,b,200,60,min,0.05,2040,2.8173269306842537,93.90150642475263,940829085932.7562,-4.074099484132015,0.9802807985378931,90191707.00338313,499999999.9932369,78282285.31489299,504.2876262071991,26350.851453490483,0.6227699164223429,842391.5061106777,307697.1220322696,1852525.901851948,31807.900039793305,168658.0273749355,149680313.83915,19674658.14646,39880000.0,123331652.29359,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,60,max,0.05,2040,43.401539971336284,6.031761739596643e-09,946745741193.372,-27.672768575095514,1.775553086601934,2375195824.0533767,499999999.9998672,133773804.53918582,710.7532183429086,338742.6460241369,0.7662532011471128,673932.4751846236,311090.09610925405,3002229.7378546013,31807.90000020448,2635570.270023164,257516800.81404,32831214.50228,39880000.0,123331652.29359,991118509.20995,0.0,0.0,1895150.43007,0.0
1987bcab,1987,b,c,a,b,200,60,min,0.05,2045,3.0272932813795457,1.3913693758706003e-06,840427506039.4463,,63.98423118329653,6087631923.001405,681728354.7817875,111599265.62747176,685.9932220213049,26348.12897221628,0.6692521080936118,792746.4139642639,299644.42199598975,1850456.0936332191,31807.90002309639,256475.33741098005,377082154.7743,19570240.4612,64210000.0,214563285.49707,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,60,max,0.05,2045,36.7655786106284,1.480161987949158,876066600405.7227,-3065.863031884074,181.51507216181326,206444096259.52304,507559073.5093612,122326649.37556192,680.2704419152275,340036.84765758936,0.6438869765018712,624516.3362579944,303337.5592707348,3001040.5419961084,31887.580205031853,4432173.458586502,405354576.02432,40394608.51938,64210000.0,214563285.49707,597077546.62753,2647979.82292,2684506.75312,5025197.60593,3048222.76157
1987bcab,1987,b,c,a,b,200,60,min,0.05,2050,2.8777929993274483,95.91684144990383,776445241666.9984,,64.33738830812726,5985289556.176447,728638997.7261542,118303215.71193945,732.881110361353,26348.128972216276,0.6362016667837558,747985.0181841913,285695.1230848374,1838584.091804658,31807.900095977315,350695.97961177456,379854095.09162,19465823.19544,79300000.0,304105444.0116,0.0,0.0,0.0,0.0,0.0
1987bcab,1987,b,c,a,b,200,60,max,0.05,2050,40.414829542376296,108.68362311271775,815904984345.0804,-33.682994570443775,2.0416369123024207,2547567475.449086,540688733.7835987,119454583.08624628,674.6862677650811,314651.00116500317,0.7447328516777247,590750.025508789,296060.7794191713,3161028.7073429283,31807.900013762723,4681120.917744869,365194024.09415,32831214.48746,79300000.0,304105444.0116,617471343.84697,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,500,60,min,0.05,2025,-0.0,2.7344657696498812e-11,981454296036.8813,,58.67761055470906,-0.0,0.0,0.24226059113087678,7.154780848432657,0.0,,377189.1868798734,48996.001042131276,413319.0656013815,99790.10012918826,0.15734615559204354,98096328.86546,32831214.49277,0.0,0.0,0.0,0.0,0.0,1052419.18852,0.0
