scenario,emission_reduction,C,I,E,T,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,smr,smr_cc,ammonia_cracking,bio_hydrogen,fossil_gas,fossil_oil,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage,demand:Haber-Bosch,demand:methanolisation,demand:H2 for industry,demand:land transport fuel cell,demand:Fischer-Tropsch,demand:H2 Fuel Cell,demand:Sabatier,demand:hydrogen for highT industry,demand:hydrogen for mediumT industry
fastcaab,fast,c,a,a,b,opt,0.0,2025,2.4137138157252226e-08,8.044653789322494e-07,974925007950.9657,,59.25645820639572,47.72823230428272,0.0,0.21264035477224602,7.157260394786242,0.00020997671931412517,0.7445809070000288,3.678635176784219,4.390956082141511e-07,-0.0,1.3933905317106524e-08,3552474114.015044,5395099718.056617,356567.5495440897,56862.88092837037,418106.850686072,99790.1000595072,0.09140150734114698,98096328.34151,32842594.93789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastcaab,fast,c,a,a,b,opt,0.0,2030,5.1797241542238555e-08,1.7260309036773594e-06,933038450404.9869,,82.43854982175063,143.44137783201805,100000000.0001149,0.3172299321824935,107.15726072716286,0.00046310866934980133,0.6845009593500962,4.133117693406599,3.4837665784543184e-07,-0.0,2.6569550082195685e-08,2687640296.526531,4988377418.52876,518157.33505902195,153315.64536331862,721354.6926107752,78601.10009931124,6778.73494728079,98096328.41985,32842594.91178,0.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
fastcaab,fast,c,a,a,b,opt,0.0,2035,3.495205491677015,116.49519901933387,936919384225.8728,,123.94874504348178,13212362692.661507,300000000.00015116,0.8969289019074006,306.97812826815607,29496.08168324694,0.7073388876750478,0.18341985670003963,6.856664506236642e-08,-0.0,6.099226743284871e-08,1058159399.1270194,3978145707.0891104,723235.6829343089,312531.70102152677,1225895.9378447155,40121.30010496989,896320.9686684693,7014681.31394,32020603.67406,19440000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
fastcaab,fast,c,a,a,b,opt,0.0,2040,20.38770464225439,679.5221957255234,1033747733603.7614,,120.69582714366224,79804091657.5095,500000000.00007665,166946369.8980325,694.8896032574908,167812.4793678875,0.710121678957233,7.327214856317613e-06,1.0764759663252043e-08,-0.0,1.5210728900644927e-08,475050744.4876535,2088650378.8599517,905551.089133066,432158.6205241284,2043370.0624269438,31807.900054267287,2134558.200780775,1351482.1122,6571067.85344,39860000.0,123331652.29359,941752821.7923,0.0,0.0,0.0,0.0
fastcaab,fast,c,a,a,b,opt,0.0,2045,17.882659535854128,8.213626645157994e-06,914125326407.4009,,62.55843263838484,34468893567.52531,658359190.3716938,164303326.60523972,676.0739546019239,167806.12008744376,0.6226978519948864,1.3945039471283185,2.9275179061665604,-0.0,5.118124981379769e-08,1110558428.8558366,1992384766.1230078,855905.9971853264,424105.9205274262,2041290.4796509151,31807.90011572496,4352684.825239223,377082155.47679,32842594.83581,64200000.0,214563285.49707,51393997.47093,0.0,0.0,0.0,0.0
fastcaab,fast,c,a,a,b,opt,0.0,2050,16.406340898209113,5.095755376747078e-06,838184452084.2837,,58.22896687196878,29963015797.845448,658359190.4177401,138892060.51766264,654.1199800187027,167806.11987228217,0.5711830126728678,4.120776809854845,8.215502473904731,-0.0,4.2223903557591566e-08,1625844305.5202613,1192444984.04746,805665.5911473721,410156.62149476307,2013524.7174655693,31807.900075349105,4847806.548068187,490004990.11367,32842594.86118,79300000.0,304105444.0116,51738503.45247,0.0,0.0,0.0,0.0
fastabab,fast,a,b,a,b,opt,0.0,2025,7.879808523824534e-09,2.5041099793874534e-06,975007496520.7488,,59.271613298240105,15.617114281013835,0.0,0.1376289367134747,7.157260373086779,0.00012823480997445686,0.3980219262499998,2.847154237890284,0.8314813625063939,-0.0,1.7716865193483546e-08,3555000810.6301126,5395060618.062622,356585.92158677964,57030.62165902659,418146.30841711676,99790.10005963863,0.10375855300062697,98096328.30338,32842594.92258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastabab,fast,a,b,a,b,opt,0.0,2030,2.1141772834510275e-08,2.0587609785464647,942379358719.2673,,88.43237573963815,63.20366629090075,25000000.000050016,0.2610241480299666,32.1572606095849,0.00028765590661459893,0.44979895913839063,2.8462111458280575,1.2159714689358252,-0.0,6.78610185845314e-08,2316895877.448213,4983342776.357528,531028.4827381892,187050.42930660862,739823.6123588302,78601.10010105811,7008.673965907082,95732053.71871,32842594.79815,0.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
fastabab,fast,a,b,a,b,opt,0.0,2035,0.00287662723497982,1192.2668885129847,1015182708139.9761,,111.90783295082142,10848465.195832023,75000000.0009971,3.576425015462613,272.27822214764166,26.039487472404748,0.6594324345720641,1.9563010830139723e-06,2.8221733967127665e-05,-0.0,6.534594300757588e-07,883215860.7801456,3237571327.2857223,674814.3628882155,291765.50692203327,1179238.4025468533,40121.3016859106,23117.956155231597,0.0,2449929.97246,19440000.0,65889512.86918,957752597.20192,0.0,0.0,0.0,0.0
fastabab,fast,a,b,a,b,opt,0.0,2040,0.018573057303834357,3436.746117387372,1147274056093.3828,,101.03429399914523,61892376.23686099,125000000.00022414,43042.25321208502,423.7812699564786,168.70823061634343,0.6436209785850957,3.470539560414789e-05,0.033518842970624484,-0.0,3.9037315044820357e-08,2.0352802070528626,996183846.9572581,709793.2908889458,308109.4611613817,1448326.8462214048,31807.90014143586,37527.546788905114,0.0,0.0,39860000.0,123331652.29359,1454467471.17425,0.0,0.0,0.0,0.0
fastabab,fast,a,b,a,b,opt,0.0,2045,0.017583573167578123,2974.2449151724645,994649859164.3685,,92.4685574432523,53995860.80786686,200000000.0,20676988.535554275,434.6400986270206,168.70664500519862,0.6093293620170175,0.00015198841770963406,0.27541723727352246,-0.0,1.1236514752773777e-13,9.386362320642069e-06,1065831985.0424601,694407.4261797856,320790.91764870984,1589133.9082034228,31807.900000018824,65422.65345857742,0.0,0.0,64200000.0,214563285.49707,1142229511.05674,0.0,0.0,0.0,0.0
fastabab,fast,a,b,a,b,opt,0.0,2050,0.01688719555941695,2094.7987714541737,858740528949.2108,,83.88908819209944,47288536.02720629,275000000.0,77853471.68797359,524.2381894858611,168.70664500829787,0.5851687551514725,0.00022007309038559578,0.002782214412147971,-0.0,2.5069761420437987e-13,1106820231.8437324,205450751.50018805,663423.7859336021,331647.45455095154,1757183.0326668352,31807.90000001927,104756.29739821563,107199.61231,0.0,79300000.0,304105444.0116,1213293111.36009,0.0,0.0,0.0,0.0
fastbbab,fast,b,b,a,b,opt,0.0,2025,1.09413650392344e-08,3.0824341538699774e-06,974977592765.8801,,59.2986487104474,21.716497581597263,0.0,0.276554056425434,7.157260499206631,0.00017516282345737553,0.40460089214676803,2.8471545997084053,0.8314810289123536,-0.0,2.1796796117831218e-08,3555001065.8112197,5395060624.898016,356585.9846254909,57030.580443272105,418146.3064589567,99790.10007693722,0.08309593763667303,98096328.40913,32842594.91084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastbbab,fast,b,b,a,b,opt,0.0,2030,2.1810906205452506e-08,2.06720454869736,939349537110.995,,88.78583606757742,65.52633106662843,50000000.00012086,0.32083580211671525,57.15726051032578,0.0003053905216015207,0.43708761068522917,2.8472207537245544,1.2146709381561775,-0.0,4.818362242899246e-08,2440942203.164425,4984820248.10002,527871.8415167326,173639.1925105148,736408.2921871028,78601.10011300103,7055.229536633752,95722357.80053,32842594.82922,0.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
fastbbab,fast,b,b,a,b,opt,0.0,2035,0.0007287559655587999,834.5352407942688,986165799594.872,,111.90859455029819,2744891.1950830114,150000000.00016162,0.6484331810049656,273.4084920205376,6.564896422979521,0.6626335069889898,1.9390940930492866e-06,6.192156461794239e-05,-0.0,6.865351453066049e-08,875556830.4571886,3535279281.797685,685490.8485393967,290116.3959278099,1179489.2625901897,40121.30016817724,21134.026771903922,0.0,538285.01465,19440000.0,65889512.86918,600182284.64452,0.0,0.0,0.0,0.0
fastbbab,fast,b,b,a,b,opt,0.0,2040,5.208953873973516e-08,2944.6651562845113,1100833411053.908,,101.02637530577874,176.7987564421937,250000000.00006714,108824324.89044909,595.9839166020711,0.000542519219930489,0.5592685714869577,1.5598762548397605e-06,0.002271130936123842,-0.0,1.78588931090564e-08,1.7215690501353185,1482153985.523453,729865.7474210075,337831.5409394977,1532831.740202771,31807.900068984854,36575.84290107759,0.0,0.0,39860000.0,123331652.29359,1684245967.29382,0.0,0.0,0.0,0.0
fastbbab,fast,b,b,a,b,opt,0.0,2045,2.3529383758912984e-08,1877.04903131964,947475078831.8694,,92.48558985132502,72.66151531983361,400000000.0000328,157983535.50629425,654.9528553942989,0.00025582160860169133,0.5174461353212868,0.00014375998528652956,0.0010906113646559227,-0.0,1.0791265576794114e-08,1038111244.9201976,1044071986.4109638,710329.5943400247,341714.08812496596,1727597.121033317,31807.900039777167,62703.783183041145,0.0,0.0,64200000.0,214563285.49707,1241112141.4754,0.0,0.0,0.0,0.0
fastbbab,fast,b,b,a,b,opt,0.0,2050,4.197209175025434e-08,843.0787079531755,819547798411.5444,,83.83244601235492,118.27074217855535,550000000.0001042,121576889.52361375,553.7176934553358,0.00045139160155235387,0.5058394756262088,0.003692429384624782,0.4154488125022812,-0.0,3.910804335541798e-08,1059126768.8572829,1311261023.728407,663004.281339505,334769.9464913438,1721483.9846228277,31807.900101890224,141840.77317574315,0.0,0.0,79300000.0,304105444.0116,18097752.70626,0.0,0.0,0.0,0.0
fastcbab,fast,c,b,a,b,opt,0.0,2025,3.4521771159794042e-09,1.0198884857572121e-06,974925006897.9414,,59.264081185543745,6.843277408981348,0.0,0.13171788945181734,7.157260231018677,5.580501640179379e-05,0.40069792599613435,3.6786353344689826,2.520543730407075e-07,-0.0,7.283556560378337e-09,3552473867.2571507,5395099770.780828,356567.36493522616,56863.022585269035,418106.8519122653,99790.10002970189,0.04831479595153181,98096328.13053,32842594.93747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastcbab,fast,c,b,a,b,opt,0.0,2030,1.7101970627995247e-08,2.0122225655198998,933033070554.9089,,82.34070020829789,47.70629934136784,100000000.00013681,0.34772358348957577,107.15726059939705,0.00024304789904774847,0.43063034031096586,4.063785675005147,4.531508223455516e-07,-0.0,2.650984879831939e-08,2687538596.6802692,4988434509.864942,518156.9112971792,153004.21508433975,721185.1991998632,78601.10008765732,6758.916215328859,95785497.13546,32842594.86992,0.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
fastcbab,fast,c,b,a,b,opt,0.0,2035,0.003033567151309118,235.04714791963386,933841305373.6295,,111.69917643324467,11397283.58100527,300000000.00128335,12.623150264156969,300.39063749342506,27.476102849826116,0.6590488824642853,0.00148330859728685,3.6274581484312474e-07,-0.0,2.504923815135998e-07,1043362639.413256,3989247782.317423,703497.030339707,285446.22188681905,1176198.433853781,40121.301292877426,41449.50481970786,0.0,1087251.26568,19440000.0,65889512.86918,748191.26716,0.0,0.0,0.0,0.0
fastcbab,fast,c,b,a,b,opt,0.0,2040,0.002374614125830731,1628.136773454349,1007915349790.7902,,101.11239327854149,8009950.220615077,500000000.00009054,205230383.93407643,748.9621200273175,22.19305218274439,0.6386972529073736,4.141802859586303e-05,1.4774605480688431e-08,-0.0,9.52563400197813e-09,693572461.8404405,1919912374.9504802,724842.9747519742,327857.4502458501,1744313.1703909803,31807.900059257663,51594.029976302285,0.0,0.0,39860000.0,123331652.29359,1211923326.73733,0.0,0.0,0.0,0.0
fastcbab,fast,c,b,a,b,opt,0.0,2045,0.001690460822763563,308.1833140050534,854693452806.759,,76.1549714425925,4275915.047796256,800000000.0011336,203859586.35654595,800.2612600322366,22.192983295758452,0.4546825829015448,1.5159138452506178,8.573633867230892,-0.0,3.761125974864643e-08,1673495476.3012145,2110026634.2457752,676069.8197842519,322328.0535302863,1744378.7758753411,31807.900095000696,230985.45306090615,56305871.63304,0.0,64200000.0,214563285.49707,1271809.1514,0.0,0.0,0.0,0.0
fastcbab,fast,c,b,a,b,opt,0.0,2050,0.0013228003047201546,273.19704394771594,779198026849.8138,,59.79784979311406,2593448.8571884446,800000000.0124975,173264770.25685132,807.5602958613051,22.192844864979424,0.35579537034827,3.8019676212276985,14.032758962348053,-0.0,1.507827212788617e-08,2290996397.3749294,1328483816.6826594,626220.9539140591,310283.89110120595,1716613.0132151567,31807.90002476354,305402.48407645035,176265506.9166,32842594.90638,79300000.0,304105444.0116,1961980.83801,0.0,0.0,0.0,0.0
fastaabb,fast,a,a,b,b,opt,0.0,2025,7.147698917470868e-08,2.3820498298425835e-06,975007498787.9521,,59.265805020280155,141.91898328177095,0.0,0.23668370538007535,7.157260841768601,0.0010025762581276872,0.46179167547543837,2.8471549221815007,0.8314807433230785,-0.0,3.833425381918863e-08,3555000942.1509023,5395060621.2979965,356585.95879886555,57030.59399608789,418146.31032686087,99790.1001176587,0.1574535739231445,98096328.72188,32842594.91337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastaabb,fast,a,a,b,b,opt,0.0,2030,0.0551899648391032,1.8394815270021148,942391632698.4761,,87.98096485569114,151808071.3748638,25000000.000045586,0.2300281609504563,32.15726059343357,839.7960641870517,0.40219495863685506,2.8322274237994356,1.182320605438763,-0.0,6.734528367851372e-08,2316704161.7487516,4983473047.469163,530739.2703791386,187403.06018525278,739723.2772444098,78601.10011933133,17313.34210860601,95983872.97163,32842594.85056,0.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
fastaabb,fast,a,a,b,b,opt,0.0,2035,28.50870549643976,204.37006990826555,1001264948549.7614,,110.57162017706963,99629985892.60059,75000000.00008331,0.27193851836569216,259.6155528212225,314175.7418778727,0.541673383522187,3.277626680616934e-07,0.0002084684968650979,-0.0,8.062916444942214e-08,838322635.8871063,3272594290.1043873,931891.1604997413,419846.7997383453,1387010.174604602,40121.30011458402,9474279.216211027,3480599.83941,8037443.16132,19440000.0,65889512.86918,890183049.94198,0.0,0.0,28651193.927,0.0
fastaabb,fast,a,a,b,b,opt,0.0,2040,44.78932013872763,1492.8280402305272,1137581802094.4722,,102.70252560905088,145010806088.0965,125000000.00000367,9725031.140701357,448.82808117356694,515321.34297962766,0.5129376270056903,7.93952434345888e-10,0.7254012516864797,-0.0,1.835660888832646e-09,0.08954580931562811,996206434.7878137,1123469.605836069,458524.69990225974,2154608.1850927193,31807.900005589137,13257556.71883887,9021540.53098,1944941.63882,39860000.0,123331652.29359,1574333862.19023,0.0,0.0,7063474.97229,0.0
fastaabb,fast,a,a,b,b,opt,0.0,2045,41.14744062229231,1115.6220797909316,1001422547506.647,,89.49458051866296,117219908094.61826,200000000.00039262,28811630.049958453,428.2896120906635,519361.6931644258,0.46706475941203585,2.1001287882661498e-08,0.039380923385212686,-0.0,8.934258105780273e-08,833359.5729752004,1064797119.5121545,1085900.0140817382,453925.64153758273,2188978.006650246,31807.90012543902,13275301.58428985,2378843.27227,0.0,64200000.0,214563285.49707,1111253904.60303,0.0,0.0,572412.68625,0.0
fastaabb,fast,a,a,b,b,opt,0.0,2050,37.59762528363456,467.3410136350656,881846239712.3695,,79.63199723000696,94296069135.91669,275000000.0000739,53201541.19789262,456.79463959697495,524383.6432252338,0.4220419900462747,9.068355643114708e-09,0.1673906106685874,-0.0,1.4673525473614871e-08,784516058.7022349,453197660.6130519,1042259.7407167736,448439.0921707201,2178282.122885243,31807.900047401974,13283119.724607812,16423790.06655,0.0,79300000.0,304105444.0116,884977475.73408,0.0,0.0,0.0,0.0
fastbabb,fast,b,a,b,b,opt,0.0,2025,2.995680227285571e-08,9.983885543388958e-07,974977590779.357,,59.270475907461794,59.50307754527001,0.0,0.13345310728098483,7.157260390965761,0.000418906560120129,0.46320747234244125,2.8471542848355127,0.8314813219037158,-0.0,1.6673969188966427e-08,3555000788.761218,5395060616.976083,356585.92164643115,57030.62126226858,418146.3113348903,99790.10004470177,0.08021993891994227,98096328.29858,32842594.93167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastbabb,fast,b,a,b,b,opt,0.0,2030,0.046932483834823395,1.5642596858757891,939365998116.5436,,88.44512001692512,130581526.18798079,50000000.00004915,0.1409171416311472,57.15726029259993,668.5661762662098,0.4296150413471806,2.8444203304209967,1.1878679829900192,-0.0,2.3346774463009922e-08,2440813186.090655,4984905493.10645,528474.265570896,173429.2818222708,736447.0870912642,78601.10005532918,16218.373581843378,96299934.93621,32842594.90177,0.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
fastbabb,fast,b,a,b,b,opt,0.0,2035,24.941658275875817,156.12843235597228,972504573501.5334,,109.53231667085848,85311847408.42155,150000000.00011355,0.3657731720075229,301.9205498168341,275206.59951284085,0.5410014420349526,3.852687244829767e-08,0.0008597384122282676,-0.0,4.806586307626196e-08,1082255674.3035374,3376369076.9616265,906753.1907953093,400923.412760627,1367106.2427631714,40121.300100986395,7890245.274356749,5695299.22425,9835686.31865,19440000.0,65889512.86918,729115870.0646,0.0,0.0,22104435.34091,0.0
fastbabb,fast,b,a,b,b,opt,0.0,2040,38.646712754844984,1288.0949361178293,1088394173315.2483,,101.36527151579364,123489903525.29417,250000000.00009102,87378495.2014962,579.0083770076214,442753.00180768553,0.5154146353040151,6.623415663484135e-09,0.006970216037758728,-0.0,1.0933384013540931e-08,1.1796615125316332,1482212264.444529,1067887.2060455217,443606.91381502524,2150210.887317635,31807.900043932867,11596620.824012166,9398358.25813,2203522.31068,39860000.0,123331652.29359,1599277256.06574,0.0,0.0,9328756.48963,0.0
fastbabb,fast,b,a,b,b,opt,0.0,2045,35.540723797946114,390.86283142096414,949029815259.363,,90.20404160350131,102138479308.30032,400000000.00004756,120460079.36690438,593.1105824699181,454971.06484265777,0.46017500630301,5.48695640104369e-09,0.05688758634156158,-0.0,1.1150472968523634e-08,816374076.6840354,1214407951.1201115,1035628.0201157179,439007.85545484384,2204333.739289489,31807.900029367906,11604375.844645781,2538793.83978,0.0,64200000.0,214563285.49707,939959536.7193,0.0,0.0,1055272.31636,0.0
fastbabb,fast,b,a,b,b,opt,0.0,2050,33.14782908424978,43.47751029748638,857862569722.566,,62.2639172743427,63257205878.484825,459800473.40978336,102865892.64451851,531.1169780718825,454971.06271631044,0.4290909637091023,0.7364241642602963,1.1787852295719021,-0.0,9.911565741269877e-11,1031691175.1398717,978820838.9569973,985387.6136691041,425058.5563809525,2176567.976644236,31807.900000170255,11676759.715471745,440075417.5268,32842594.95071,79300000.0,304105444.0116,312327615.99365,0.0,0.0,0.0,0.0
fastcabb,fast,c,a,b,b,opt,0.0,2025,6.275773569104997e-08,2.091560624603777e-06,974925010262.6228,,59.25457264275646,124.65230467001128,0.0,0.37869071187104897,7.157260842266677,0.0008369411609581798,0.4857016781453242,3.67863489019587,7.773907814731822e-07,-0.0,3.088900665672288e-08,3552473046.5322337,5395099774.490097,356567.8648955441,56862.75391894361,418106.8562094735,99790.10009442335,0.16554601210455605,98096328.57193,32842594.91889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastcabb,fast,c,a,b,b,opt,0.0,2030,3.520730759741845e-05,0.001173458356084615,933038441942.2131,,82.43843207439959,102784.74543942997,99999999.99971467,0.38336309517414574,107.15726059967392,0.7230066049900813,0.2980168980214641,4.133042174375442,3.7471688897669675e-07,-0.0,2.2193474336770643e-08,2687640448.338098,4988377498.762634,518153.53019314725,153316.75267731398,721355.2334853078,78601.10011230707,6773.066230698972,98094985.99761,32842594.8802,0.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
fastcabb,fast,c,a,b,b,opt,0.0,2035,10.603292940517834,123.77921012194331,925270966357.7778,,100.52608574341087,31979565729.674847,300000000.0002039,1.613469134717327,347.5468939708447,125678.35609871965,0.50361588128435,0.01744896782891484,8.202903198832611e-08,-0.0,5.9595646847948636e-08,1375342480.4755921,3733622345.7183995,790931.8906967633,323880.5158486612,1259545.2179871486,40121.30018412168,2974519.6085526384,12328058.0343,16466970.89368,19440000.0,65889512.86918,213989337.30693,0.0,0.0,25875467.62769,0.0
fastcabb,fast,c,a,b,b,opt,0.0,2040,29.404875345142464,475.1274020232339,995723950607.8898,,99.84267667348988,92577115384.46352,500000000.0001807,161183335.09752157,710.3825810008655,332935.9617433687,0.5179827795991515,2.183235052018705e-08,2.7584708061335034e-08,-0.0,2.5439037996264514e-08,616698781.1384901,1979045925.0130258,992301.1174743398,427689.4425066813,2038458.6023162813,31807.90009665805,10957623.292443158,7973813.5093,4765436.8783,39860000.0,123331652.29359,1019088269.02468,0.0,0.0,18205068.56029,0.0
fastcabb,fast,c,a,b,b,opt,0.0,2045,26.479370249226676,1.794565592383811e-05,886717545249.6494,,60.7955864005762,49458993274.915634,611375776.0437626,156554380.6833897,666.146884033643,332934.57290010864,0.46625496801969657,0.8789570613537689,0.25870572890917565,-0.0,1.3379614539435912e-07,1115231433.2776158,1805772290.35139,942656.0255771545,419636.7425728359,2036379.0199162012,31807.90033984385,10968557.044305483,377082157.1158,32842594.6574,64200000.0,214563285.49707,231784515.7716,0.0,0.0,0.0,0.0
fastcabb,fast,c,a,b,b,opt,0.0,2050,24.55009107359227,1.9488347831893853e-07,811774370716.7666,,57.769364639883115,43796849996.15846,611375776.0440017,132371680.25177428,629.0887360130205,332934.5669613775,0.4321546426059841,4.120980105645051,2.6575029384051043,-0.0,1.5014386088663142e-09,1549525466.5125806,1070210333.3385991,892415.6194266821,405687.4434213975,2008613.2572493523,31807.90000204213,11117280.851721125,490004990.33998,32842594.94757,79300000.0,304105444.0116,137928346.11969,0.0,0.0,0.0,0.0
