scenario,SEQ,SEQCOST,CCCOST,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,co2seq,dac,elec_cap,elec_cf,total_onwind,total_offwind,total_solar
bca,b,c,a,max,0.05,2025,10.481829459635984,4.622624074826706e-07,1013329808936.0892,-14.731557198096269,0.5650034194222434,11.245884460143998,0.2307990351667456,67915.9127686418,0.9996841648402082,397436.9527730232,94866.52739772614,425455.51153264404
bca,b,c,a,min,0.05,2030,-0.0,1.0912676050153642e-11,943591479131.4054,,84.75071015448489,50000000.00001374,0.05295802576672509,0.0,,508347.972137145,206780.77079565194,673283.690927404
bca,b,c,a,max,0.05,2030,12.242518498148375,1.6118373866757606e-06,982133040115.2429,-17.512798512390592,0.9893401741856027,49999999.98460359,0.18319218540011156,92290.83067946146,0.8441938812484788,530217.9194493827,270178.09655714536,718536.5245862382
bca,b,c,a,min,0.05,2035,-0.0,8.378140337427978e-09,981298745551.4249,,230.38373566915587,150000000.00948063,23.231440656524804,0.0,,843853.0027588764,372721.39852455514,1100266.1475763484
bca,b,c,a,max,0.05,2035,30.588690887898505,12.264715063174012,996301188502.3943,-22.148092050348758,1.6697926676365706,150000000.00070903,0.3504924929254472,255338.80526827197,0.7285783991056904,776453.7485084202,516684.96450995,1190744.0313418596
bca,b,c,a,min,0.05,2040,15.2206126760197,507.3029997733084,1068635849503.4117,-2.6954885288361345,0.9920781151767111,250000000.31819493,21.615866098998538,133534.72918681125,0.6639309829930498,1007164.101004429,473207.6175115637,1941343.6198565392
bca,b,c,a,max,0.05,2040,47.6518879447612,184.77474872974653,1072612486453.2512,-28.498231570128578,2.2769870412753304,249999999.99110958,45876594.69220261,425536.31488407543,0.6678108906222253,1037387.90939066,567580.7040230813,2068228.6941968563
bca,b,c,a,min,0.05,2045,15.108459202708726,311.35256244953945,953427262937.1571,,87.505745112773,400000000.0011203,25494880.40936226,133526.9498937522,0.6590771862487683,958136.7098364733,465152.28725795564,1939264.0348512584
bca,b,c,a,max,0.05,2045,42.868560637948036,6.798379147060531,984162179670.326,-820.729398882061,48.46553871326547,349762990.14389366,70138942.4806233,426388.0864672114,0.5990764729463186,988196.7415572504,560090.142067789,2069109.7111520297
bca,b,c,a,min,0.05,2050,12.49650297793591,353.3465224109908,882062206492.1815,,68.21579693562302,476516007.6569849,44618149.979846455,133526.94989375217,0.5451356693719458,908288.4869393664,451202.9877509073,1911498.2697206517
bca,b,c,a,max,0.05,2050,36.265011512547034,14.431245785376012,911301662716.1141,-92478.27369222838,5994.807642134573,454650438.34330237,68263735.01151033,358626.13828951976,0.5967307796547541,937773.4559006492,546010.1753532584,2041543.665213617
cca,c,c,a,min,0.05,2025,-0.0,7.055883762501786e-12,976896395612.8652,,59.27106716539197,0.0,0.027964316544414627,0.0,,351505.5840115884,61977.82067428774,404457.55147151987
cca,c,c,a,max,0.05,2025,10.475737935553756,1.416352512081357e-07,1013329809875.9294,-14.731877702564043,0.565122029546781,14.37378399823433,0.08732074167081368,67876.46455137347,0.9996838530036483,397366.3982825583,94865.85791278619,425453.20030808164
cca,c,c,a,min,0.05,2030,-0.0,2.248645730507134e-11,940947726276.2664,,77.26161485316467,100000000.00004828,0.23429800443286736,0.0,,498819.28718707577,183497.3931972789,668676.8779908239
cca,c,c,a,max,0.05,2030,11.694176886561952,1.5981175066522208e-06,979353184152.209,-17.420877771342727,0.957395576783404,99999999.98189522,0.19831550554011496,82865.496782832,0.9036521778258214,515312.89063671,246722.8334114487,700932.0153454547
cca,c,c,a,min,0.05,2035,-0.0,1.8581349035210578e-10,922800462905.2947,,151.06050671090424,300000000.00013345,0.36785096156586206,0.0,,684049.3240457964,318132.0249226671,1039908.0413685361
cca,c,c,a,max,0.05,2035,19.167472239019027,3.346549034967961e-06,953793570942.4348,-21.163937354261332,1.4526048510322458,300000000.00102293,0.3313210763217749,160603.42077328105,0.7353097592057025,690757.6357238118,411084.9396621237,1055241.898551326
cca,c,c,a,min,0.05,2040,1.6131239809698867,53.76542702634908,1007486317412.4604,-3.6267144544522587,0.9482690409643977,500000001.27961224,17785704.801590335,14500.321485800792,0.6480002119287495,971316.1990924287,431735.7918616497,1631344.0386097312
cca,c,c,a,max,0.05,2040,34.03133325081756,126.35285681153754,1010346477530.4194,-24.38478447586087,1.6582886060597246,499999999.81572324,87565771.82233685,294758.35036993877,0.6911936420324062,927953.972304294,481775.1297636463,1687005.997052214
cca,c,c,a,min,0.05,2045,1.817495093810163,60.57710850072065,919820704625.6473,,69.14612394753878,637200254.7876402,52732581.2547083,14487.310393255759,0.7307528428294986,921671.0572417211,423680.5899012921,1629264.4063397283
cca,c,c,a,max,0.05,2045,28.110481521985154,3.8826837701371812,934930997308.681,-299371.56973137986,18318.935586245312,530865214.4944226,94777205.8375737,295359.9188862062,0.5687365829412449,878451.9028950073,473852.3286001908,1685620.0804418032
cca,c,c,a,min,0.05,2050,1.5810571185006335,52.69663327214596,851741291723.0269,,68.95012100334945,720102853.7147013,64860064.2492861,14487.310393255757,0.6356891900038496,875671.2775809627,411026.98660096305,1601498.6427206784
cca,c,c,a,max,0.05,2050,31.166272965561262,101.5446160765748,870193456567.8025,-34.66189813848327,2.1567322977281447,620900269.401347,85806716.3034704,257595.86025243858,0.7032131940309981,833685.9215796283,466016.3629318233,1699162.0171004913
aab,a,a,b,min,0.05,2025,-0.0,1.905468400936505e-12,976673526635.7668,,59.27304642626389,0.0,0.046403571992570426,0.0,,351505.58373408683,61977.823047936996,404457.5485293155
aab,a,a,b,max,0.05,2025,10.47731943904112,1.6366530233004894e-07,1013313396998.9764,-14.731713533610193,0.5650602879088903,18.19960789216725,0.210608289487333,67886.70650194887,0.9996839301418655,397383.0406298968,94866.06645228871,425453.3824150448
aab,a,a,b,min,0.05,2030,-0.0,1.1078799595752842e-11,944976114834.0466,,94.00387416185184,25000000.00001011,0.10155855884759382,0.0,,513440.22478104,217539.5633001796,675732.5220776063
aab,a,a,b,max,0.05,2030,12.842752925565735,1.4161153809895276e-06,983901916980.602,-18.40759277962085,1.1362912738803894,24999999.991494972,0.18355058725605397,97664.78012718385,0.8345783073740624,540087.3945587892,284043.899533781,727732.9520868415
aab,a,a,b,min,0.05,2035,1.656041389636252,55.19585941462491,1016320971247.7434,-3.337285658689822,1.0038947808257037,74999999.99982539,0.09131977694264179,14676.594636550002,0.6735425487669179,883920.1546915277,430995.34949443553,1177868.6022022222
aab,a,a,b,max,0.05,2035,37.941758359597706,56.41699128121074,1018205452783.6636,-22.779432709357,1.814299424795358,75000000.00054385,0.575166483745047,316074.30323388765,0.7273716847686273,833625.6000513416,568985.0113521876,1255677.9824384728
aab,a,a,b,min,0.05,2040,22.97712851213202,765.8276932507114,1101679828671.488,-3.029028988261507,1.0601509396838882,124999999.99491133,0.47119709830946926,202771.29810388575,0.6610226399198635,1024605.5417232595,502380.43125916837,1967718.116003795
aab,a,a,b,max,0.05,2040,60.41326199088187,228.4219958257983,1105204095278.694,-33.2008328556619,3.0094847137350023,124999999.99418077,41923966.8466658,526376.4741188978,0.6827348631517017,1108649.7163045907,602716.9637121488,2384110.1419942398
aab,a,a,b,min,0.05,2045,22.719207117235044,757.231173162554,980142282509.8184,,94.72017518750131,200000000.0005229,794282.9839713708,202771.29281153867,0.6535940061795622,979645.7972554021,497874.04934551683,1970497.2501961435
aab,a,a,b,max,0.05,2045,53.1569261454542,240.80805453837203,1020901844285.0671,-724249.9757119188,50753.74854675745,199962392.2267267,55164041.179730535,526680.0317898726,0.5996174841555767,1059112.6426805432,594749.1559361586,2382371.439876897
aab,a,a,b,min,0.05,2050,21.930608146617725,730.9471695302345,895332560064.4521,,91.87241547851312,275000000.0000622,22070041.059677735,202771.29281153867,0.6308788294729624,938175.68885706,506880.4701851675,2021843.892850182
aab,a,a,b,max,0.05,2050,52.70868711399307,286.32100176669144,939999322687.3466,-46.17610281142359,2.8944772208201246,275000000.26995075,69393815.29863459,462943.49967724463,0.6713052900118005,1011311.2920246917,585809.7380739753,2359054.069959447
bab,b,a,b,min,0.05,2025,-0.0,2.0764733319967946e-11,976673525648.3937,,59.2616642595098,0.0,0.21999753455072474,0.0,,351505.5720506495,61977.85058605686,404457.52346946124
bab,b,a,b,max,0.05,2025,10.474609816100141,4.841936485480365e-07,1013298780068.7866,-14.731993077854286,0.5651547571974708,14.608306318341647,0.42013812622201496,67869.16124297185,0.9996837613067666,397353.4804886074,94865.44307619875,425455.3383041031
bab,b,a,b,min,0.05,2030,-0.0,6.807890631613962e-12,942924456414.2805,,89.56721952453537,50000000.00001256,0.15240113537052433,0.0,,508347.3206720415,206778.1592272327,673288.4391338491
bab,b,a,b,max,0.05,2030,12.42442357846232,9.718871122863808e-07,981770946041.2228,-18.37713070344548,1.1193043011577337,49999999.968791224,0.15367546316261801,91811.45728867571,0.8616899935491218,533272.2723544679,270618.64011063724,721867.1693098517
bab,b,a,b,min,0.05,2035,-0.0,8.048439864509359e-10,981572784867.5925,,239.2722820833659,150000000.00046974,2.6853564600176103,0.0,,831924.1447866356,376438.3753172754,1097441.7036496971
bab,b,a,b,max,0.05,2035,31.283176036052794,44.37426609699051,993642321948.6578,-22.23412609481591,1.6889629634657717,149999999.99477887,0.19567016839376097,261143.09859341395,0.7282101388552258,770785.0267147704,524820.1229411805,1173033.530998183
bab,b,a,b,min,0.05,2040,15.392800139080574,513.0420286427328,1064385978692.786,-2.6679612049408923,1.008954619311447,250000000.0015769,0.004775175454862116,131875.71246232028,0.6798887311543279,1002924.578557906,481960.83253921435,1909146.866319978
bab,b,a,b,max,0.05,2040,53.07559424677242,218.37460583753852,1068090815325.2261,-31.657973980595607,2.7470330476046927,249999999.1074048,74597217.10070825,461787.37107947614,0.6839135232787343,1063778.2779379683,578788.2164534496,2209044.218262753
bab,b,a,b,min,0.05,2045,15.156630576052073,310.7232280913543,948964966102.7233,,86.7670582496385,400000000.00005925,31411710.743435934,131875.71240869822,0.6694572944499039,953727.173042861,473905.6559994563,1907067.283816917
bab,b,a,b,max,0.05,2045,,,,,,,,,,,,
bab,b,a,b,min,0.05,2050,12.583415493306813,356.50680756864057,876696230196.5309,,70.11906000617294,472408335.10324395,56961440.76670495,131875.71240869822,0.555800265027139,903878.9510020574,459956.3569875981,1879301.5214271387
bab,b,a,b,max,0.05,2050,,,,,,,,,,,,
cab,c,a,b,min,0.05,2025,-0.0,5.859050167900249e-12,976777403232.4827,,59.27263648747569,0.0,0.03744744567190086,0.0,,351505.584238532,61977.82115929715,404457.5502966923
cab,c,a,b,max,0.05,2025,10.467037853722106,1.1725412529927085e-07,1013298781868.9341,-14.732416927037333,0.5650185203662489,-2.390389471137837,0.13864517899763487,67820.11172817762,0.9996835808903459,397284.16862266464,94854.75922688548,425450.01199823193
cab,c,a,b,min,0.05,2030,-0.0,9.642231267592122e-11,940399538160.9447,,82.07771793195616,100000000.00004391,0.8086353438477069,0.0,,498819.0788582851,183497.13378255273,668677.294476085
cab,c,a,b,max,0.05,2030,11.827127991693104,5.102221262650651e-07,978583139669.6571,-18.048728000200153,1.051996421983408,99999999.97064501,0.06354856473184237,83251.7709503576,0.9094660062582302,520202.135755293,247919.98757429686,707630.5596332955
cab,c,a,b,min,0.05,2035,-0.0,2.2901008818723685e-10,920291405586.0828,,152.11449421962033,300000000.00005794,0.39212088315302823,0.0,,683662.900079739,317967.2382838572,1040180.6993538998
cab,c,a,b,max,0.05,2035,19.757130811801538,6.4693689612726716e-06,951753652517.1414,-21.16239256279846,1.4651743246909656,300000000.0103708,0.8311299070318161,167659.875657109,0.7249582624377694,690678.8261833182,416883.0874798731,1061404.2885443978
cab,c,a,b,min,0.05,2040,2.2307720476674118,74.33961924475634,998449655069.174,-4.108001101997515,0.9926333740809428,500000660.57774615,63278891.49668881,20869.545124067037,0.6226259855851876,936639.3311379182,426519.6766762697,1559396.245182352
cab,c,a,b,max,0.05,2040,36.48246065062286,122.7459113268891,1001507562503.2178,-24.44344759716771,1.7044881657125739,499999999.93949485,104053694.75341043,309959.7742996409,0.7038360910579142,908924.8912816909,501929.1381445878,1720865.0538823353
cab,c,a,b,min,0.05,2045,2.4964169576188233,83.2055720548009,902932107565.3193,,71.05332070376596,640570315.0497019,83251207.15528804,20805.590293880632,0.6989113823183796,886992.0060382587,418455.3360196637,1557313.2398055797
cab,c,a,b,max,0.05,2045,,,,,,,,,,,,
cab,c,a,b,min,0.05,2050,2.2101514270005365,73.66434362103259,837529835526.0076,,71.01127287402916,724103552.275903,93117067.7080341,20805.590293880632,0.6187668226910611,839427.2341501815,409637.43439992564,1543603.5713164096
cab,c,a,b,max,0.05,2050,,,,,,,,,,,,
abb,a,b,b,min,0.05,2025,-0.0,1.2660775365741245e-10,977618979139.2019,,59.26734912380134,0.0,0.899638643139518,0.0,,351505.5267388789,61977.97197262391,404457.3912555864
abb,a,b,b,max,0.05,2025,10.475520061293278,2.59493116174849e-07,1013312315031.3993,-14.731908747105559,0.5651286813110545,13.442008874002568,0.22580615585857283,67875.0542261397,0.9996838328466855,397364.45640523464,94865.55251835336,425453.18980325747
abb,a,b,b,min,0.05,2030,-0.0,3.560709966469485e-11,945089166749.087,,94.00392861618407,25000000.000076786,0.45534468798734906,0.0,,513440.26773681084,217539.32895023195,675732.7960442703
abb,a,b,b,max,0.05,2030,12.824183385948572,7.858235676921709e-06,983641790276.6667,-18.411378056376318,1.1366266166052448,24999999.923023827,1.0948752988134636,97570.25057788627,0.8341974947409069,540027.0996023547,283932.6368178084,727714.7073808489
abb,a,b,b,min,0.05,2035,1.631155235684252,54.36640355197819,1015968511901.1958,-3.326732429756761,1.0023644574184176,74999999.99992599,0.41405776458219196,14441.982214351105,0.6741982749812999,884813.6731497732,431319.95398059004,1178136.472565917
abb,a,b,b,max,0.05,2035,38.1004902253899,55.68669573713333,1017849368681.2211,-22.654677186796132,1.7976631654395625,74999999.984058,1.4394894588813212,317390.93906024453,0.7273269229675002,835543.6480680188,569167.4039963111,1256487.0413687928
abb,a,b,b,min,0.05,2040,22.979376818286045,765.9026292944812,1100384568395.0225,-3.0370572236576496,1.0611205706623368,124999999.99321735,0.298069666390988,202783.96401445754,0.6610280987781572,1025251.3610762558,502374.2445922432,1966735.3698182518
abb,a,b,b,max,0.05,2040,60.37005550078478,228.35091119808905,1103920688348.9639,-33.219735418896256,3.0111474861084844,124999999.98457125,41664680.781801976,526094.8758343506,0.6826649022740734,1108735.4620089158,602483.350548741,2382842.5877010357
abb,a,b,b,min,0.05,2045,22.71768899455848,757.1805741893702,978085158833.9872,,94.7295851482291,200000000.0002001,720719.2893214592,202783.96099436076,0.6534936280300262,980246.599407706,497918.8240923639,1969454.302390816
abb,a,b,b,max,0.05,2045,53.54216575486419,238.74735775262948,1018814442344.9167,-238.04022458328586,16.533724046712443,200009473.7712504,55541171.97215591,526391.6099082856,0.6044404371488014,1059641.3919386794,594573.4777364433,2381307.0615345705
abb,a,b,b,min,0.05,2050,21.934908505598226,731.0905004931382,892540889274.4152,,91.87925007450544,275000000.0000395,21952479.048088346,202783.96099436076,0.6309473520956338,938741.7993390223,506894.30135617097,2021168.1584716141
abb,a,b,b,max,0.05,2050,52.79677639833455,288.1272636339115,937133030818.6952,-45.70440135038113,2.8663734845896367,274999999.9665749,69435462.35827681,463094.18125181453,0.6721995674493233,1011456.1573428916,585576.1242243713,2357853.5748728877
bbb,b,b,b,min,0.05,2025,-0.0,4.106149216080856e-11,976908637668.324,,59.2795515956312,0.0,0.41157368951139367,0.0,,351505.57806791994,61977.856092572954,404457.49416404055
bbb,b,b,b,max,0.05,2025,10.471030761379538,1.1659857646318331e-07,1013298781882.9509,-14.73219707275605,0.5649532778918319,2.9463392158984334,0.15738158384111664,67845.98470761963,0.9996835611657858,397305.33641662425,94866.96642468582,425458.1724159175
bbb,b,b,b,min,0.05,2030,-0.0,4.54597022290366e-11,942424497781.3105,,89.56732180498476,50000000.00005532,0.3363864631465244,0.0,,508346.31050576473,206779.6827314184,673288.714719705
bbb,b,b,b,max,0.05,2030,12.443224402120057,1.047084540382963e-06,981250654270.2378,-18.374867278755453,1.119094745379533,49999999.96784456,0.13017211774276738,91871.28918710069,0.8624028832537347,533321.3346473096,270718.2510578998,721918.6674759078
bbb,b,b,b,min,0.05,2035,-0.0,8.809988607478189e-10,980196637169.3005,,239.27677436464407,150000000.00082594,4.010878097036089,0.0,,831876.8566138832,376443.57389224815,1097491.0641069915
bbb,b,b,b,max,0.05,2035,31.353995510684683,44.35137607602124,992323899145.4781,-22.214869038799485,1.6863531184444556,150000000.0010115,0.20290077963252034,261500.452174117,0.7288315842845556,770776.2117264415,525333.2258855868,1173280.4894287502
bbb,b,b,b,min,0.05,2040,15.398757194120327,513.2405772768883,1061773706007.2057,-2.672446535791725,1.00953102161317,249999999.9999423,0.004123835479531228,131945.582147676,0.679791686322198,1002822.8075984938,481915.92713965796,1908823.3036754504
bbb,b,b,b,max,0.05,2040,53.02445998221069,218.60731621700424,1065490223417.9614,-31.728617700639045,2.7560678584751663,250000000.00332117,74348840.17485578,461636.7842644639,0.6835002904011312,1063567.9469677578,578818.6911436405,2207679.2254017927
bbb,b,b,b,min,0.05,2045,15.159194091538131,311.51336880421104,944851442981.7473,,86.74102585010128,400000000.0000655,31239058.232157346,131945.58211174433,0.6692159625397093,953625.4020469482,473860.75093107164,1906743.7209111322
bbb,b,b,b,max,0.05,2045,,,,,,,,,,,,
bbb,b,b,b,min,0.05,2050,12.563342894269253,353.0772938129109,871862150103.1246,,67.27570321208566,476485296.8136802,56814527.540173285,131945.58211174433,0.554619827210863,903384.9959339112,459911.45189228305,1878977.9586896435
bbb,b,b,b,max,0.05,2050,,,,,,,,,,,,
cbb,c,b,b,min,0.05,2025,-0.0,2.7554282331561824e-11,977339706835.4791,,59.27664798074803,0.0,0.24963670162003093,0.0,,351505.5757573185,61977.8356571522,404457.53464720445
cbb,c,b,b,max,0.05,2025,10.471443904742994,7.049157430682809e-08,1013298779424.9961,-14.73217312742944,0.5649782192742393,7.701513402593719,0.15393340878515038,67848.65973371684,0.9996835890799507,397311.86253624107,94866.46663671057,425458.1557071423
cbb,c,b,b,min,0.05,2030,-0.0,2.2972973937072324e-12,939480100453.9453,,82.07781775256623,100000000.00000302,0.02237069874110792,0.0,,498821.48677721794,183496.0554229382,668675.4267276877
cbb,c,b,b,max,0.05,2030,11.808946661618268,9.720202079297528e-07,977543737473.4817,-18.05511192174619,1.0527676608636318,100000000.00014672,0.150643157189857,83183.97741405499,0.9088591640023465,520203.65660167445,247768.46256862485,707603.586039485
cbb,c,b,b,min,0.05,2035,-0.0,1.237392851739811e-10,916404732075.03,,152.11445422716372,300000000.0000584,0.2552076363673721,0.0,,683659.9921758117,317966.62848611455,1040171.573580929
